First;Last;Importance
2232,1;2392,001;0,33130677373106987
422,4;498,3;0,10836790752020597
2104,7;2232,1;0,03221906639010419
1970,8;2104,7;0,022398435868407597
1686,5;1863,1;0,01853708134235435
777,9;840,0;0,01295499758234203
712,3;777,9;0,010985214504208245
994,9;1119,0;0,008613434187010589
840,0;898,1;0,007579924248943693
1863,1;1970,8;0,006957638386466023
898,1;951,0;0,0065570572792122
951,0;994,9;0,005428519369229307
1503,0;1686,5;0,004081183346132256
643,5;712,3;0,003980944106425643
1119,0;1313,6;0,0029753252493772064
498,3;572,1;0,0014612411348219065
1313,6;1503,0;0,0011921274106140975
572,1;643,5;0,0009338451969401962
